"","Date","Ticker","Price"
"584",20090428,"MSFT",19.93
"585",20090429,"MSFT",20.25
"586",20090430,"MSFT",20.26
"587",20090501,"MSFT",20.24
"588",20090504,"MSFT",20.19
"589",20090505,"MSFT",19.79
"590",20090506,"MSFT",19.79
"591",20090507,"MSFT",19.32
"592",20090508,"MSFT",19.42
"593",20090511,"MSFT",19.32
"594",20090512,"MSFT",19.89
"595",20090513,"MSFT",19.75
"596",20090514,"MSFT",20.06
"597",20090515,"MSFT",20.22
"598",20090518,"MSFT",20.6
"599",20090519,"MSFT",20.31
"600",20090520,"MSFT",20.38
"601",20090521,"MSFT",19.82
"602",20090522,"MSFT",19.75
"603",20090526,"MSFT",20.34
"604",20090527,"MSFT",20.13
"605",20090528,"MSFT",20.45
"606",20090529,"MSFT",20.89
"607",20090601,"MSFT",21.4
"608",20090602,"MSFT",21.4
"609",20090603,"MSFT",21.73
"610",20090604,"MSFT",21.83
"611",20090605,"MSFT",22.14
"612",20090608,"MSFT",22.05
"613",20090609,"MSFT",22.08
"614",20090610,"MSFT",22.55
"615",20090611,"MSFT",22.83
"616",20090612,"MSFT",23.33
"617",20090615,"MSFT",23.42
"618",20090616,"MSFT",23.45
"619",20090617,"MSFT",23.68
"620",20090618,"MSFT",23.5
"621",20090619,"MSFT",24.07
"622",20090622,"MSFT",23.28
"623",20090623,"MSFT",23.34
"624",20090624,"MSFT",23.47
"625",20090625,"MSFT",23.79
"626",20090626,"MSFT",23.35
"627",20090629,"MSFT",23.86
"628",20090630,"MSFT",23.77
"629",20090701,"MSFT",24.04
"630",20090702,"MSFT",23.37
"631",20090706,"MSFT",23.2
"632",20090707,"MSFT",22.53
"633",20090708,"MSFT",22.56
"634",20090709,"MSFT",22.44
"635",20090710,"MSFT",22.39
"636",20090713,"MSFT",23.23
"637",20090714,"MSFT",23.11
"638",20090715,"MSFT",24.12
"639",20090716,"MSFT",24.44
"640",20090717,"MSFT",24.29
"641",20090720,"MSFT",24.53
"642",20090721,"MSFT",24.83
"643",20090722,"MSFT",24.8
"644",20090723,"MSFT",25.56
"645",20090724,"MSFT",23.45
"646",20090727,"MSFT",23.11
"647",20090728,"MSFT",23.47
"648",20090729,"MSFT",23.8
"649",20090730,"MSFT",23.81
"650",20090731,"MSFT",23.52
"651",20090803,"MSFT",23.83
"652",20090804,"MSFT",23.77
"653",20090805,"MSFT",23.81
"654",20090806,"MSFT",23.46
"655",20090807,"MSFT",23.56
"656",20090810,"MSFT",23.42
"657",20090811,"MSFT",23.13
"658",20090812,"MSFT",23.53
"659",20090813,"MSFT",23.62
"660",20090814,"MSFT",23.692
"661",20090817,"MSFT",23.25
"662",20090818,"MSFT",23.58
"663",20090819,"MSFT",23.65
"664",20090820,"MSFT",23.67
"665",20090821,"MSFT",24.41
"666",20090824,"MSFT",24.64
"667",20090825,"MSFT",24.64
"668",20090826,"MSFT",24.55
"669",20090827,"MSFT",24.69
"670",20090828,"MSFT",24.68
"671",20090831,"MSFT",24.65
"672",20090901,"MSFT",24
"673",20090902,"MSFT",23.86
"674",20090903,"MSFT",24.11
"675",20090904,"MSFT",24.62
"676",20090908,"MSFT",24.82
"677",20090909,"MSFT",24.78
"678",20090910,"MSFT",25
"679",20090911,"MSFT",24.86
"680",20090914,"MSFT",25
"681",20090915,"MSFT",25.2
"682",20090916,"MSFT",25.2
"683",20090917,"MSFT",25.3
"684",20090918,"MSFT",25.26
"685",20090921,"MSFT",25.3
"686",20090922,"MSFT",25.77
"687",20090923,"MSFT",25.71
"688",20090924,"MSFT",25.94
"689",20090925,"MSFT",25.55
"690",20090928,"MSFT",25.83
"691",20090929,"MSFT",25.75
"692",20090930,"MSFT",25.72
"693",20091001,"MSFT",24.88
"694",20091002,"MSFT",24.96
"695",20091005,"MSFT",24.64
"696",20091006,"MSFT",25.11
"697",20091007,"MSFT",25.1
"698",20091008,"MSFT",25.67
"699",20091009,"MSFT",25.55
"700",20091012,"MSFT",25.72
"701",20091013,"MSFT",25.81
"702",20091014,"MSFT",25.96
"703",20091015,"MSFT",26.71
"704",20091016,"MSFT",26.5
"705",20091019,"MSFT",26.36
"706",20091020,"MSFT",26.37
"707",20091021,"MSFT",26.58
