PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
87447,2011-10-31,UPS,70.24,736582,0.112272,0.107723,51737519.68,0.7895267643903419
87447,2011-11-30,UPS,71.75,723626,0.021498,-0.005059,51920165.5,0.7895267643903419
87447,2011-12-30,UPS,73.19,723626,0.02007,0.008533,52962186.94,0.7895267643903419
87447,2012-01-31,UPS,75.65,723626,0.033611,0.043583,54742306.900000006,0.7895267643903419
87447,2012-02-29,UPS,76.99,722705,0.017713,0.040589,55641057.949999996,0.7895267643903419
87447,2012-03-30,UPS,80.72,723865,0.048448,0.031332,58430382.8,0.7895267643903419
87447,2012-04-30,UPS,78.14,723865,-0.031962,-0.007497,56562811.1,0.7895267643903419
87447,2012-05-31,UPS,74.94,725733,-0.040952,-0.062651,54386431.019999996,0.7895267643903419
87447,2012-06-29,UPS,78.76,725733,0.050974,0.039555,57158731.080000006,0.7895267643903419
87447,2012-07-31,UPS,75.61,725733,-0.039995,0.012598,54872672.13,0.7895267643903419
87447,2012-08-31,UPS,73.81,726329,-0.023806,0.019763,53610343.49,0.7895267643903419
87447,2012-09-28,UPS,71.57,726329,-0.030348,0.024236,51983366.529999994,0.7895267643903419
87447,2012-10-31,UPS,73.25,726329,0.023474,-0.019789,53203599.25,0.7895267643903419
87447,2012-11-30,UPS,73.11,723576,-0.001911,0.002847,52900641.36,0.7895267643903419
87447,2012-12-31,UPS,73.73,723576,0.00848,0.007068,53349258.480000004,0.7895267643903419
87447,2013-01-31,UPS,79.29,723576,0.07541,0.050428,57372341.04000001,0.7895267643903419
87447,2013-02-28,UPS,82.65,730358,0.042376,0.011061,60364088.7,0.7895267643903419
87447,2013-03-28,UPS,85.9,725632,0.039322,0.035988,62331788.800000004,0.7895267643903419
87447,2013-04-30,UPS,85.84,725632,-6.99e-4,0.018086,62288250.88,0.7895267643903419
87447,2013-05-31,UPS,85.9,724685,6.99e-4,0.020763,62250441.50000001,0.7895267643903419
87447,2013-06-28,UPS,86.48,724685,0.006752,-0.014999,62670758.800000004,0.7895267643903419
87447,2013-07-31,UPS,86.8,724685,0.0037,0.049462,62902658.0,0.7895267643903419
87447,2013-08-30,UPS,85.58,721547,-0.014055,-0.031298,61749992.26,0.7895267643903419
87447,2013-09-30,UPS,91.37,721547,0.067656,0.029749,65927749.39,0.7895267643903419
87447,2013-10-31,UPS,98.24,721547,0.075189,0.044596,70884777.28,0.7895267643903419
87447,2013-11-29,UPS,102.38,715770,0.042142,0.028049,73280532.6,0.7895267643903419
87447,2013-12-31,UPS,105.08,715770,0.026372,0.023563,75213111.6,0.7895267643903419
87447,2014-01-31,UPS,95.23,715770,-0.093738,-0.035583,68162777.10000001,0.7895267643903419
87447,2014-02-28,UPS,95.77,711449,0.00567,0.043117,68135470.73,0.7895267643903419
87447,2014-03-31,UPS,97.38,709531,0.016811,0.006932,69094128.78,0.7895267643903419
87447,2014-04-30,UPS,98.5,709531,0.011501,0.006201,69888803.5,0.7895267643903419
87447,2014-05-30,UPS,103.88,706186,0.054619,0.02103,73358601.67999999,0.7895267643903419
87447,2014-06-30,UPS,102.66,706186,-0.011744,0.019058,72497054.75999999,0.7895267643903419
87447,2014-07-31,UPS,97.09,706186,-0.054257,-0.01508,68563598.74000001,0.7895267643903419
87447,2014-08-29,UPS,97.33,706357,0.002472,0.037655,68749726.81,0.7895267643903419
87447,2014-09-30,UPS,98.29,706357,0.009863,-0.015514,69427829.53,0.7895267643903419
87447,2014-10-31,UPS,104.91,706357,0.067352,0.023201,74103912.87,0.7895267643903419
87447,2014-11-28,UPS,109.92,702344,0.047755,0.024534,77201652.48,0.7895267643903419
87447,2014-12-31,UPS,111.17,711475,0.011372,-0.004189,79094675.75,0.7895267643903419
87447,2015-01-30,UPS,98.84,711475,-0.110911,-0.031041,70322189.0,0.7895267643903419
87447,2015-02-27,UPS,101.73,711475,0.029239,0.054893,72378351.75,0.7895267643903419
87447,2015-03-31,UPS,96.94,702344,-0.047085,-0.017396,68085227.36,0.7895267643903419
87447,2015-04-30,UPS,100.53,702344,0.037033,0.008521,70606642.32000001,0.7895267643903419
87447,2015-05-29,UPS,99.22,701516,-0.013031,0.010491,69604417.52,0.7895267643903419
87447,2015-06-30,UPS,96.91,701516,-0.023282,-0.021012,67983915.56,0.7895267643903419
87447,2015-07-31,UPS,102.36,701516,0.056238,0.019742,71807177.76,0.7895267643903419
87447,2015-08-31,UPS,97.65,698448,-0.046014,-0.062581,68203447.2,0.7895267643903419
87447,2015-09-30,UPS,98.69,698448,0.01065,-0.026443,68929833.12,0.7895267643903419
87447,2015-10-30,UPS,103.02,698448,0.043875,0.082983,71954112.96,0.7895267643903419
87447,2015-11-30,UPS,103.01,696143,-9.7e-5,5.05e-4,71709690.43,0.7895267643903419
87447,2015-12-31,UPS,96.23,696143,-0.065819,-0.01753,66989840.89,0.7895267643903419
66157,2010-01-29,USB,25.08,1913000,0.114171,-0.036974,47978040.0,0.7895267643903419
66157,2010-02-26,USB,24.61,1913362,-0.01874,0.028514,47087838.82,0.7895267643903419
66157,2010-03-31,USB,25.88,1915131,0.051605,0.058796,49563590.28,0.7895267643903419
66157,2010-04-30,USB,26.77,1915131,0.03439,0.014759,51268056.87,0.7895267643903419
66157,2010-05-28,USB,23.96,1916894,-0.104968,-0.081976,45928780.24,0.7895267643903419
66157,2010-06-30,USB,22.35,1916894,-0.067195,-0.053882,42842580.900000006,0.7895267643903419
66157,2010-07-30,USB,23.9,1916894,0.069351,0.068778,45813766.599999994,0.7895267643903419
66157,2010-08-31,USB,20.8,1917161,-0.129707,-0.047449,39876948.800000004,0.7895267643903419
66157,2010-09-30,USB,21.62,1917161,0.039423,0.087551,41449020.82,0.7895267643903419
66157,2010-10-29,USB,24.2,1918000,0.119334,0.036856,46415600.0,0.7895267643903419
66157,2010-11-30,USB,23.78,1918307,-0.017355,-0.00229,45617340.46,0.7895267643903419
66157,2010-12-31,USB,26.97,1918307,0.134146,0.0653,51736739.79,0.7895267643903419
66157,2011-01-31,USB,27.0,1918307,0.001112,0.022646,51794289.0,0.7895267643903419
66157,2011-02-28,USB,27.73,1918307,0.027037,0.031957,53194653.11,0.7895267643903419
66157,2011-03-31,USB,26.43,1925418,-0.046881,-0.001047,50888797.74,0.7895267643903419
66157,2011-04-29,USB,25.82,1927000,-0.02308,0.028495,49755140.0,0.7895267643903419
66157,2011-05-31,USB,25.6,1926650,-0.00852,-0.013501,49322240.0,0.7895267643903419
66157,2011-06-30,USB,25.51,1926650,-0.003516,-0.018258,49148841.5,0.7895267643903419
66157,2011-07-29,USB,26.06,1925000,0.02156,-0.021474,50165500.0,0.7895267643903419
66157,2011-08-31,USB,23.21,1920925,-0.109363,-0.056791,44584669.25,0.7895267643903419
66157,2011-09-30,USB,23.54,1920925,0.014218,-0.071762,45218574.5,0.7895267643903419
66157,2011-10-31,USB,25.59,1913000,0.087086,0.107723,48953670.0,0.7895267643903419
66157,2011-11-30,USB,25.92,1908404,0.012896,-0.005059,49465831.68,0.7895267643903419
66157,2011-12-30,USB,27.05,1908404,0.043596,0.008533,51622328.2,0.7895267643903419
66157,2012-01-31,USB,28.22,1908404,0.043253,0.043583,53855160.879999995,0.7895267643903419
66157,2012-02-29,USB,29.4,1910929,0.041814,0.040589,56181312.599999994,0.7895267643903419
66157,2012-03-30,USB,31.68,1910929,0.077551,0.031332,60538230.72,0.7895267643903419
66157,2012-04-30,USB,32.17,1910929,0.015467,-0.007497,61474585.93,0.7895267643903419
66157,2012-05-31,USB,31.11,1894190,-0.03295,-0.062651,58928250.9,0.7895267643903419
66157,2012-06-29,USB,32.16,1894190,0.033751,0.039555,60917150.39999999,0.7895267643903419
66157,2012-07-31,USB,33.5,1892000,0.041667,0.012598,63382e3,0.7895267643903419
66157,2012-08-31,USB,33.41,1895299,-0.002687,0.019763,63321939.589999996,0.7895267643903419
66157,2012-09-28,USB,34.3,1895299,0.026639,0.024236,65008755.699999996,0.7895267643903419
66157,2012-10-31,USB,33.21,1880000,-0.031778,-0.019789,62434800.0,0.7895267643903419
66157,2012-11-30,USB,32.26,1880371,-0.028606,0.002847,60660768.45999999,0.7895267643903419
66157,2012-12-31,USB,31.94,1880371,-0.009919,0.007068,60059049.74,0.7895267643903419
66157,2013-01-31,USB,33.1,1869000,0.036318,0.050428,61863900.0,0.7895267643903419
66157,2013-02-28,USB,33.98,1863385,0.026586,0.011061,63317822.3,0.7895267643903419
66157,2013-03-28,USB,33.93,1864006,-0.001471,0.035988,63245723.58,0.7895267643903419
66157,2013-04-30,USB,33.28,1864006,-0.019157,0.018086,62034119.68,0.7895267643903419
