"Ticker","Name","Asset.Class","Weight....","Price","Shares","Market.Value","Notional.Value","Sector","SEDOL","ISIN","Exchange","Date"
"K","KELLOGG","Equity",0.3005,"63.96","153,991","$9,849,264","-","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Oct-2014"
"K","KELLOGG","Equity",0.3012,"66.25","155,017","$10,269,876","-","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","28-Nov-2014"
"K","KELLOGG","Equity",0.2979,"65.44","163,200","$10,679,808","10,679,808.00","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Dec-2014"
"K","KELLOGG","Equity",0.301,"65.58","194,387","$12,747,899","12,747,899.46","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Jan-2015"
"K","KELLOGG","Equity",0.2826,"64.48","201,015","$12,961,447","12,961,447.20","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","27-Feb-2015"
"K","KELLOGG","Equity",0.2947,"65.95","208,446","$13,747,014","13,747,013.70","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Mar-2015"
"K","KELLOGG","Equity",0.2846,"63.33","219,854","$13,923,354","13,923,353.82","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Apr-2015"
"K","KELLOGG","Equity",0.2786,"62.77","221,027","$13,873,865","13,873,864.79","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","29-May-2015"
"K","KELLOGG","Equity",0.285,"62.7","219,377","$13,754,938","13,754,937.90","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Jun-2015"
"K","KELLOGG","Equity",0.2913,"66.17","233,073","$15,422,440","15,422,440.41","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Jul-2015"
"K","KELLOGG","Equity",0.3051,"66.28","270,284","$17,914,424","17,914,423.52","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Aug-2015"
"K","KELLOGG","Equity",0.3105,"66.55","282,483","$18,799,244","18,799,243.65","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Sep-2015"
"K","KELLOGG","Equity",0.3105,"70.52","288,403","$20,338,180","20,338,179.56","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Oct-2015"
"K","KELLOGG","Equity",0.4924,"68.77","488,131","$33,568,769","33,568,768.87","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Nov-2015"
"K","KELLOGG","Equity",0.5189,"72.27","515,458","$37,252,150","37,252,149.66","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Dec-2015"
"K","KELLOGG","Equity",0.5368,"73.44","568,724","$41,767,091","41,767,090.56","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","29-Jan-2016"
"K","KELLOGG","Equity",0.539,"74.02","710,055","$52,558,271","52,558,271.10","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","29-Feb-2016"
"K","KELLOGG","Equity",0.5316,"76.55","784,239","$60,033,495","60,033,495.45","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Mar-2016"
"K","KELLOGG","Equity",0.5375,"76.81","868,393","$66,701,266","66,701,266.33","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","29-Apr-2016"
"K","KELLOGG","Equity",0.7737,"74.37","1,378,569","$102,524,177","102,524,176.53","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-May-2016"
"K","KELLOGG","Equity",0.8163,"81.65","1,474,487","$120,391,864","120,391,863.55","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Jun-2016"
"K","KELLOGG","Equity",0.8151,"82.71","1,510,297","$124,916,665","124,916,664.87","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","29-Jul-2016"
"K","KELLOGG","Equity",0.8291,"82.21","1,471,712","$120,989,444","120,989,443.52","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Aug-2016"
"K","KELLOGG","Equity",0.7928,"77.47","1,486,798","$115,182,241","115,182,241.06","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Sep-2016"
"K","KELLOGG","Equity",0.7922,"75.13","1,397,192","$104,971,035","104,971,034.96","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","31-Oct-2016"
"K","KELLOGG","Equity",0.7575,"72","1,322,254","$95,202,288","95,202,288.00","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Nov-2016"
"K","KELLOGG","Equity",0.7573,"73.71","1,261,844","$93,010,521","93,010,521.24","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","30-Dec-2016"
"K","KELLOGG","Equity",0.745,"73.11","1,255,348","$91,778,492","91,778,492.28","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc.","05-Jan-2017"
"KFT","KRAFT FOODS INC A","Equity",0.7624,"35.18","558","$19,630","-","Consumer Staples","2764296","US50075N1046","NASDAQ","31-Oct-2011"
"KFT","KRAFT FOODS INC A","Equity",0.7745,"36.15","558","$20,172","-","Consumer Staples","2764296","US50075N1046","NASDAQ","30-Nov-2011"
"KFT","KRAFT FOODS INC A","Equity",0.7808,"37.36","1,671","$62,429","-","Consumer Staples","2764296","US50075N1046","NASDAQ","30-Dec-2011"
"KFT","KRAFT FOODS INC A","Equity",0.7904,"38.3","2,232","$85,486","-","Consumer Staples","2764296","US50075N1046","NASDAQ","31-Jan-2012"
"KFT","KRAFT FOODS INC A","Equity",0.7704,"38.07","2,795","$106,406","-","Consumer Staples","2764296","US50075N1046","NASDAQ","29-Feb-2012"
"KFT","KRAFT FOODS INC A","Equity",0.7621,"38.01","3,961","$150,558","-","Consumer Staples","2764296","US50075N1046","NASDAQ","30-Mar-2012"
"KFT","KRAFT FOODS INC A","Equity",0.7883,"39.87","5,659","$225,624","-","Consumer Staples","2764296","US50075N1046","NASDAQ","30-Apr-2012"
"KFT","KRAFT FOODS INC A","Equity",0.7661,"38.27","13,970","$534,632","-","Consumer Staples","2764296","US50075N1046","NASDAQ","31-May-2012"
"KFT","KRAFT FOODS INC A","Equity",1.1679,"38.62","61,258","$2,365,784","-","Consumer Staples","2764296","US50075N1046","NASDAQ","29-Jun-2012"
"KFT","KRAFT FOODS INC A","Equity",1.1561,"39.71","99,569","$3,953,885","-","Consumer Staples","2764296","US50075N1046","NASDAQ","31-Jul-2012"
"KFT","KRAFT FOODS INC A","Equity",1.2106,"41.53","103,859","$4,313,264","-","Consumer Staples","2764296","US50075N1046","NASDAQ","31-Aug-2012"
"KFT","KRAFT FOODS INC A","Equity",1.1909,"41.35","105,253","$4,352,212","-","-","2764296","US50075N1046","NASDAQ","28-Sep-2012"
"KMB","KIMBERLY CLARK CORP","Equity",0.5875,"69.71","217","$15,127","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Oct-2011"
"KMB","KIMBERLY CLARK CORP","Equity",0.5955,"71.47","217","$15,509","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Nov-2011"
"KMB","KIMBERLY CLARK CORP","Equity",1.2945,"73.56","1,407","$103,499","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Dec-2011"
"KMB","KIMBERLY CLARK CORP","Equity",1.2413,"71.56","1,876","$134,247","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jan-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.2399,"72.88","2,350","$171,268","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Feb-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.2514,"73.89","3,346","$247,236","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Mar-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.316,"78.47","4,800","$376,656","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Apr-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.3425,"79.35","11,807","$936,885","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-May-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.5086,"83.77","36,481","$3,056,013","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Jun-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.5572,"86.91","61,279","$5,325,758","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jul-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.4935,"83.6","63,651","$5,321,224","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Aug-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.4928,"85.78","63,599","$5,455,522","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Sep-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.4618,"83.45","91,724","$7,654,368","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Oct-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.5012,"85.72","115,085","$9,865,086","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Nov-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.4534,"84.43","129,383","$10,923,807","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Dec-2012"
"KMB","KIMBERLY CLARK CORP","Equity",1.4667,"89.51","204,836","$18,334,870","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jan-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.5047,"94.28","273,836","$25,817,258","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Feb-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.4812,"97.98","390,993","$38,309,494","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Mar-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.5218,"103.19","544,232","$56,159,300","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Apr-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.4657,"96.83","587,777","$56,914,447","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-May-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.479,"97.14","543,982","$52,842,411","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Jun-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.454,"98.8","342,195","$33,808,866","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jul-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.4215,"93.48","332,255","$31,059,197","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Aug-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.3942,"94.22","300,355","$28,299,448","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Sep-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.5287,"108.00","300,330","$32,435,640","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Oct-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.434,"109.16","314,423","$34,322,415","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Nov-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.3546,"104.46","313,313","$32,728,676","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Dec-2013"
"KMB","KIMBERLY CLARK CORP","Equity",1.4644,"109.37","316,599","$34,626,433","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jan-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.4167,"110.35","310,306","$34,242,267","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Feb-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.4079,"110.25","311,444","$34,336,701","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Mar-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.4161,"112.25","320,216","$35,944,246","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Apr-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.4034,"112.35","350,681","$39,399,010","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-May-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3762,"111.22","326,633","$36,328,122","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Jun-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3051,"103.87","323,406","$33,592,181","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jul-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3064,"108","331,328","$35,783,424","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Aug-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3112,"107.57","347,723","$37,404,563","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Sep-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3413,"114.27","384,716","$43,961,497","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Oct-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3284,"116.59","388,510","$45,296,381","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","28-Nov-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.3143,"115.54","407,823","$47,119,869","47,119,869.42","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Dec-2014"
"KMB","KIMBERLY CLARK CORP","Equity",1.2377,"107.96","485,566","$52,421,705","52,421,705.36","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Jan-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.218,"109.66","509,406","$55,861,462","55,861,461.96","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","27-Feb-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2103,"107.11","527,078","$56,455,325","56,455,324.58","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Mar-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2467,"109.69","555,970","$60,984,349","60,984,349.30","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Apr-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2238,"108.86","559,947","$60,955,830","60,955,830.42","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-May-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2227,"105.97","556,812","$59,005,368","59,005,367.64","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Jun-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2815,"114.97","590,054","$67,838,508","67,838,508.38","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Jul-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2511,"106.53","689,599","$73,462,981","73,462,981.47","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Aug-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2939,"109.04","718,383","$78,332,482","78,332,482.32","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Sep-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.343,"119.71","734,925","$87,977,872","87,977,871.75","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Oct-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.0965,"119.15","627,428","$74,758,046","74,758,046.20","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Nov-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.1727,"127.3","661,415","$84,198,130","84,198,129.50","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Dec-2015"
"KMB","KIMBERLY CLARK CORP","Equity",1.2053,"128.42","730,197","$93,771,899","93,771,898.74","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Jan-2016"
"KMB","KIMBERLY CLARK CORP","Equity",1.2118,"130.3","906,953","$118,175,976","118,175,975.90","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Feb-2016"
"KMB","KIMBERLY CLARK CORP","Equity",1.1915,"134.51","1,000,234","$134,541,475","134,541,475.34","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Mar-2016"
"KMB","KIMBERLY CLARK CORP","Equity",1.1177,"125.19","1,107,850","$138,691,742","138,691,741.50","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Apr-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6569,"127.04","685,162","$87,042,980","87,042,980.48","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-May-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6823,"137.48","731,916","$100,623,812","100,623,811.68","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Jun-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6338,"129.55","749,708","$97,124,671","97,124,671.40","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","29-Jul-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6407,"128.06","730,120","$93,499,167","93,499,167.20","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Aug-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6398,"126.14","736,915","$92,954,458","92,954,458.10","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Sep-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.5977,"114.41","692,248","$79,200,094","79,200,093.68","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","31-Oct-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.6028,"115.61","655,295","$75,758,655","75,758,654.95","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Nov-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.5811,"114.12","625,355","$71,365,513","71,365,512.60","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","30-Dec-2016"
"KMB","KIMBERLY CLARK CORP","Equity",0.5859,"116.01","622,135","$72,173,881","72,173,881.35","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc.","05-Jan-2017"
"KMI","KINDER MORGAN INC","Equity",0.5087,"28.6","458","$13,099","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Oct-2011"
"KMI","KINDER MORGAN INC","Equity",0.5188,"29.5","458","$13,511","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Nov-2011"
"KMI","KINDER MORGAN INC","Equity",0.5903,"32.17","1,467","$47,193","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Dec-2011"
"KMI","KINDER MORGAN INC","Equity",0.5872,"32.47","1,956","$63,511","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jan-2012"
"KMI","KINDER MORGAN INC","Equity",0.6251,"35.24","2,450","$86,338","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","29-Feb-2012"
"KMI","KINDER MORGAN INC","Equity",0.6779,"38.65","3,465","$133,922","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Mar-2012"
"KMI","KINDER MORGAN INC","Equity",0.6247,"35.9","4,980","$178,782","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Apr-2012"
"KMI","KINDER MORGAN INC","Equity",2.2762,"34.19","46,459","$1,588,433","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-May-2012"
"KMI","KINDER MORGAN INC","Equity",1.9884,"32.22","125,013","$4,027,919","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","29-Jun-2012"
"KMI","KINDER MORGAN INC","Equity",2.1979,"35.81","209,915","$7,517,056","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jul-2012"
"KMI","KINDER MORGAN INC","Equity",2.5495,"35.77","253,948","$9,083,720","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Aug-2012"
"KMI","KINDER MORGAN INC","Equity",2.5035,"35.52","257,579","$9,149,206","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Sep-2012"
"KMI","KINDER MORGAN INC","Equity",2.8287,"34.71","426,727","$14,811,694","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Oct-2012"
"KMI","KINDER MORGAN INC","Equity",2.7535,"33.81","535,195","$18,094,943","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Nov-2012"
"KMI","KINDER MORGAN INC","Equity",1.0946,"35.33","232,853","$8,226,696","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Dec-2012"
"KMI","KINDER MORGAN INC","Equity",1.1061,"37.46","369,093","$13,826,224","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jan-2013"
"KMI","KINDER MORGAN INC","Equity",1.0658,"37.07","493,293","$18,286,372","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Feb-2013"
"KMI","KINDER MORGAN INC","Equity",1.0921,"38.68","730,259","$28,246,418","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Mar-2013"
"KMI","KINDER MORGAN INC","Equity",1.077,"39.1","1,016,446","$39,743,039","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Apr-2013"
"KMI","KINDER MORGAN INC","Equity",1.074,"37.98","1,098,071","$41,704,737","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-May-2013"
"KMI","KINDER MORGAN INC","Equity",1.0839,"38.15","1,015,127","$38,727,095","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Jun-2013"
"KMI","KINDER MORGAN INC","Equity",1.0368,"37.76","638,463","$24,108,363","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jul-2013"
"KMI","KINDER MORGAN INC","Equity",1.0762,"37.93","619,923","$23,513,679","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Aug-2013"
"KMI","KINDER MORGAN INC","Equity",0.9899,"35.57","564,892","$20,093,208","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Sep-2013"
"KMI","KINDER MORGAN INC","Equity",0.9404,"35.31","565,118","$19,954,317","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Oct-2013"
"KMI","KINDER MORGAN INC","Equity",0.9326,"35.54","628,030","$22,320,186","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","29-Nov-2013"
"KMI","KINDER MORGAN INC","Equity",0.9324,"36.00","625,798","$22,528,728","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Dec-2013"
"KMI","KINDER MORGAN INC","Equity",0.9097,"34.01","632,452","$21,509,693","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jan-2014"
"KMI","KINDER MORGAN INC","Equity",0.8167,"31.85","619,797","$19,740,534","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Feb-2014"
"KMI","KINDER MORGAN INC","Equity",0.8315,"32.49","624,173","$20,279,381","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Mar-2014"
"KMI","KINDER MORGAN INC","Equity",0.8257,"32.66","641,738","$20,959,163","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Apr-2014"
"KMI","KINDER MORGAN INC","Equity",0.836,"33.39","702,868","$23,468,763","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-May-2014"
"KMI","KINDER MORGAN INC","Equity",0.5941,"36.26","432,475","$15,681,544","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Jun-2014"
"KMI","KINDER MORGAN INC","Equity",0.5977,"35.98","427,542","$15,382,961","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jul-2014"
"KMI","KINDER MORGAN INC","Equity",0.6439,"40.26","438,075","$17,636,900","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","29-Aug-2014"
"KMI","KINDER MORGAN INC","Equity",0.6205,"38.34","461,715","$17,702,153","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Sep-2014"
"KMI","KINDER MORGAN INC","Equity",0.6032,"38.7","510,845","$19,769,702","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Oct-2014"
"KMI","KINDER MORGAN INC","Equity",0.016,"41.35","13,195","$545,606","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","28-Nov-2014"
"KMI","KINDER MORGAN INC","Equity",0.1812,"41.49","217,463","$9,022,540","9,022,539.87","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","29-May-2015"
"KMI","KINDER MORGAN INC","Equity",0.1723,"38.39","216,551","$8,313,393","8,313,392.89","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Jun-2015"
"KMI","KINDER MORGAN INC","Equity",0.1505,"34.64","229,921","$7,964,463","7,964,463.44","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Jul-2015"
"KMI","KINDER MORGAN INC","Equity",0.151,"32.41","273,564","$8,866,209","8,866,209.24","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","31-Aug-2015"
"KMI","KINDER MORGAN INC","Equity",0.1124,"27.68","245,901","$6,806,540","6,806,539.68","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Sep-2015"
"KMI","KINDER MORGAN INC","Equity",0.1251,"27.35","299,597","$8,193,978","8,193,977.95","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc.","30-Oct-2015"
"KMR","KINDER MORGAN MANAGEMENT","Equity",0.9261,"66.24","360","$23,846","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","31-Oct-2011"
"KMR","KINDER MORGAN MANAGEMENT","Equity",0.9782,"70.77","360","$25,477","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","30-Nov-2011"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.1314,"78.52","1,152","$90,455","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","30-Dec-2011"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.1085,"76.95","1,558","$119,888","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","31-Jan-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.1335,"80.17","1,953","$156,572","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","29-Feb-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.0437,"74.63","2,763","$206,203","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","30-Mar-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.0724,"76.13","4,032","$306,931","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","30-Apr-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.008,"71.03","9,903","$703,410","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","31-May-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.0076,"73.42","27,800","$2,041,076","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","29-Jun-2012"
"KMR","KINDER MORGAN MANAGEMENT","Equity",1.0504,"76.65","46,870","$3,592,606","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc.","31-Jul-2012"
